id,name,legacy_id,email,phone,url,fax,industry,accountType,contacts,contact,territory,tags,address_1,address_2,address_3,city,state,postalCode,country,Population,"Project Lead Assigned",Competitor(s)
61-accounts,mySalesman,,,,,,,"New Customer",29-contacts,"Matt Warner",,,,,,Lincoln,NE,,US,,,
65-accounts,"Consolidated Water District #1",,,"+1 9137247000",http://crwd1.com/index.html,,Municipality,"New Customer",33-contacts,"Mike Fulkerson",,,"15520 Crestwood Dr",,,Basehor,KS,66007,US,,,
69-accounts,"City of Tell City, IN",,,,http://www.tellcityindiana.com,,Municipality,"New Customer","49-contacts, 53-contacts, 81373-contacts, 81377-contacts, 81381-contacts, 81385-contacts","Mack Cail",,,"601 Main St.",,,"Tell City",IN,47586,US,"7,272",,
73-accounts,"City of Lake Elmo",,,,,,Municipality,"New Customer","69-contacts, 18333-contacts, 18713-contacts, 31297-contacts","Jack Griffin",,,,,,"Lake Elmo",MN,,US,,,
81-accounts,"City of Sleepy Eye",,,,,,,"New Customer",77-contacts,"Mark Kober",,,,,,"Sleepy Eye",MN,,US,,,
85-accounts,"City of South St. Paul",,,,,,,"New Customer",81-contacts,"Deb Krier",,,,,,"South St. Paul",MN,,US,,,
89-accounts,"City of Bloomington, MN",,,,,,,"New Customer",85-contacts,"Charlie Wild",,,,,,Bloomington,MN,,US,,,
93-accounts,"City of Glenwood",,,,http://www.cityofglenwood.org,,,"New Customer",89-contacts,"Brian Kissel",,,,,,Glenwood,IA,,US,,,
97-accounts,"County of Ramsey",,,,,,,"New Customer",93-contacts,"Matt Koukol",,,,,,MN,,,US,,,
101-accounts,"City of Williston",,,,,,,"New Customer","97-contacts, 101-contacts","Dave Tuan",,,,,,ND,,,US,,,
113-accounts,"Albion Telephone Company",,,,,,Telecom,"New Customer",105-contacts,"Cody Matthews",,,,,,Albion,ID,,US,,,
117-accounts,"City of American Fork, UT",,,,,,,"New Customer","109-contacts, 12681-contacts, 37705-contacts","Rob Autrey",,,"275 E 200 N",,,"American Fork",UT,84003,US,26853,,
121-accounts,"City of Branson, MO",,,,,,,"New Customer","117-contacts, 1689-contacts","Corey Powell",,,,,,Branson,MO,,US,"11,064",,
129-accounts,"Village of Coal Valley, IL",,,,,,,"New Customer","125-contacts, 45677-contacts","Al Wilson",,,,,,"Coal Valley",IL,,US,3743,,
133-accounts,"City of DeKalb, IL",,,,,,,"New Customer","129-contacts, 30197-contacts","Jeremy Alexander",,,,,,DeKalb,IL,,US,43842,,
137-accounts,"County of Ionia, MI",,,,,,,"New Customer","133-contacts, 12777-contacts","Bryan May",,,,,,,,,,,,
141-accounts,"Algona Municipal Utilities",,,,,,,"New Customer",137-contacts,"John Bilsten",,,,,,Algona,IA,,US,,,
145-accounts,"City of Owatonna",,,,,,,"New Customer","169-contacts, 173-contacts","Kris Busse",,,,,,Owatonna,MN,,US,,,
149-accounts,"City of Shoreview",,,,,,,"New Customer","177-contacts, 18485-contacts","Mark Maloney",,,,,,Shoreview,MN,,US,,,
153-accounts,"City of Savage",,,,,,,"New Customer",181-contacts,"John Powell",,,,,,Savage,MN,,US,,,
157-accounts,"City of Kearney, NE",,,"+1 3082333215",http://www.cityofkearney.org/,,Municipality,"New Customer","185-contacts, 189-contacts, 193-contacts, 197-contacts, 201-contacts, 597-contacts, 19529-contacts","Andy Harter",,,"18 E 22nd St",,,Kearney,NE,68847,US,30787,,
161-accounts,"City of Newton",,,,,,,"New Customer","209-contacts, 16501-contacts, 16505-contacts","Keith Laube",,,,,,Newton,IA,,US,,,
165-accounts,"City of Sioux City",,,,,,,"New Customer",213-contacts,"Jade Dundas",,,,,,"Sioux City",IA,,US,,,
169-accounts,"City of Effingham, IL",,,,,,,"New Customer",205-contacts,"Steve Miller",,,,,,Effingham,IL,,US,10100,,
173-accounts,"City of Iowa City",,,,,,,"New Customer",217-contacts,"Marian Karr",,,,,,"Iowa City",IA,,US,,,
177-accounts,"Cedar Falls Utilities",,,,,,,"New Customer",221-contacts,"Jerald Lukensmeyer",,,,,,"Cedar Falls",IA,,US,,,
181-accounts,"Nemaha NRD",,,"+1 4023353325",http://www.nemahanrd.org,,"Natural and Conservation Districts","New Customer",229-contacts,"Chuck Wingert",,,"62161 Hwy 136",,,Tecumseh,NE,68450,US,,,
185-accounts,"City of Lockport, IL",,,,,,,"New Customer","225-contacts, 593-contacts","Ben Benson",,,"222 E. 9th St.",,,Lockport,IL,60441,US,25000,,
189-accounts,"Lower Elkhorn NRD",,,"+1 4023717313",http://www.lenrd.org,,"Natural and Conservation Districts","New Customer","237-contacts, 241-contacts, 245-contacts, 6237-contacts","Curt Becker",,,"601 East Benjamin Ave.","Suite 101",,Norfolk,NE,68702,US,,,
193-accounts,"Village of Richton Park, IL",,,,,,,"New Customer","233-contacts, 685-contacts","De'Carlon Seewood",,,"4455 Sauk Trail",,,"Richton Park",IL,60471,US,13741,,
197-accounts,"South Whitley, IN",,,,,,,"New Customer",249-contacts,"Dave Wilkinson",,,,,,"South Whitley",IN,,US,1759,,
201-accounts,"Walsh Group",,pwirtz@walshgroup.com,,,,Construction,"New Customer","253-contacts, 2473-contacts","Pat Wirtz",,,,,,"Chicago (IL)",,,US,,,
209-accounts,"City of Silvis, IL",,,,,,,"New Customer",261-contacts,"Jim Grafton",,,,,,Silvis,IL,,US,7604,,
213-accounts,"SNG Group",,,,,,,"New Customer",265-contacts,"Michael Curri",,,,,,,,,,,,
217-accounts,"Steuben Lakes Regional Waste Dist.",,,,,,,"New Customer","269-contacts, 3305-contacts","Tim Frederick",,,,,,Angola,IN,,US,5000,,
221-accounts,"City of Longmont, CO",,,,,,,"New Customer","273-contacts, 1593-contacts","Diana Wilson",,,,,,,,,,,,
225-accounts,"Alachua County, FL",,,,,,,"New Customer","277-contacts, 1373-contacts","Vernest Legree",,,,,,"Alachua County",FL,,US,,,
229-accounts,"Little Blue NRD",,,"+1 4023642145",http://littlebluenrd.org,,"Natural and Conservation Districts","New Customer","281-contacts, 285-contacts","Daryl Andersen",,,"100 East 6th St",,,Davenport,NE,68335,US,,,
233-accounts,"City of Superior",,,"+1 4028794713",http://www.ci.superior.ne.us,,Municipality,"New Customer","293-contacts, 20353-contacts, 22473-contacts","Larry Brittenham",,,"135 W. 4th St",,,Superior,NE,68978,US,1933,,
237-accounts,"Central Platte NRD",,,"+1 3083856282",http://www.cpnrd.org/,,"Natural and Conservation Districts","New Customer","301-contacts, 305-contacts","Luke Zakrzewski",,,"215 Kaufman Ave",,,"Grand Island",NE,68803,US,,,
241-accounts,Shive-Hattery,,,,,,,"New Customer",1013-contacts,"Paul Duke",,,,,,"Downers Grove",IL,,US,,,
245-accounts,"City of Schuyler",,,"+1 4023523101",http://schuylernebraska.net/,,Municipality,"New Customer","309-contacts, 313-contacts","Jim McGowen",,,"1103 B St",,,Schuyler,NE,68661,US,,,
249-accounts,"City of Miami",,,"+1 9185426685",http://www.miamiok.org/,,Municipality,"New Customer","321-contacts, 325-contacts, 3061-contacts, 4149-contacts, 40785-contacts","Chuck Childs",,,"129 5th Ave. NW",,,Miami,OK,74355,US,,,
253-accounts,"Beach Park, IL",,,,,,,"New Customer",317-contacts,"Jon Kindseth",,,,,,"Beach Park",IL,,US,13789,,
257-accounts,"City of Excelsior Springs",,,"+1 8166300755",http://www.cityofesmo.com,,Municipality,"New Customer","333-contacts, 337-contacts","Nick Pappas",,,"103 E. Water St.",,,"Excelsior Springs",MO,64024,US,11084,,
261-accounts,"Noble REMC",,,,,,,"New Customer",329-contacts,"Doug Dickmeyer",,,,,,Albion,IN,,US,,,
265-accounts,"City of Bloomington, IL",,,"+1 3094342641",,,Municipality,"New Customer","341-contacts, 73537-contacts, 73541-contacts","Craig McBeath",,,,,,Bloomington,IL,,US,76610,,
269-accounts,"Lower Loup NRD",,,"+1 3087283221",http://www.llnrd.org/,,"Natural and Conservation Districts","New Customer",345-contacts,"Tylr Naprstek",,,"2620 Airport Drive",,,Ord,NE,68862,US,,,
273-accounts,"Lower Platte North NRD",,,,,,"Natural and Conservation Districts","New Customer",349-contacts,"John Miyoshi",,,"511 Commercial Park Road",,,Wahoo,NE,68066,US,,,
277-accounts,"Twin Platte NRD",,,"+1 3085358080",http://www.tpnrd.org/,,"Natural and Conservation Districts","New Customer","353-contacts, 357-contacts","Ann Dimmit",,,"111 S Dewey St",,,"North Platte",NE,69101,US,,,
281-accounts,"Scotts Bluff County",,,"+1 3086331806",http://www.scottsbluffcounty.org/surveyor-gis/surveyor.html,,Municipality,"New Customer",361-contacts,"Suzie Wick",,,"785 Rundell Road",,,Gering,NE,69341,US,,,
285-accounts,"City of Belle Fourche",,,,,,,"New Customer",365-contacts,"Ryan Kavan",,,,,,"Belle Fourche",SD,,US,5500,,
289-accounts,"City of Yankton",,,,,,,"New Customer","369-contacts, 373-contacts","Amy Nelson",,,,,,Yankton,SD,,US,,,
293-accounts,"City of Creston",,,,,,,"New Customer","377-contacts, 381-contacts, 16605-contacts","Becky Johnson",,,,,,Creston,IA,,US,,,
297-accounts,"Stonebrook Roofing",,,,,,,"New Customer",385-contacts,"Neal Ferry",,,,,,Omaha,NE,,US,,,
301-accounts,Pinpoint,,,,,,,"New Customer","389-contacts, 4581-contacts","Tom Shoemaker",,,,,,Cambridge,NE,,US,,,
305-accounts,Kiewit,,,,,,,"New Customer",,,,,,,,"Corpus Christi",TX,,US,,,
309-accounts,"Balfour Beatty",,,,,,,"New Customer",,,,,,,,Dallas,TX,,US,,,
313-accounts,"City of Waukee",,,,,,,"New Customer","393-contacts, 397-contacts, 16525-contacts","John Gibson",,,,,,Waukee,IA,,US,,,
317-accounts,"City of Aberdeen, SD",,,,http://www.aberdeen.sd.us/,,Municipality,"New Customer",401-contacts,"Lynn Lander",,,,,,Aberdeen,SD,,US,"26,091",,
321-accounts,"City of Sauk Rapids",,,,,,,"New Customer","405-contacts, 409-contacts, 18637-contacts","Ross Olson",,,,,,"Sauk Rapids",MN,,US,,,
325-accounts,"City of Ouray",,,,,,,"New Customer","413-contacts, 21721-contacts, 23701-contacts","Ann Morgenthaler",,,,,,Ouray,CO,,US,"1,000",,
329-accounts,"Town of Frederick",,,,,,Municipality,"New Customer","417-contacts, 11321-contacts","Matt LeCerf",,,,,,Frederick,CO,,US,4633,,
333-accounts,"City of Wheat Ridge, CO",,,,,,Municipality,"New Customer","421-contacts, 425-contacts, 12185-contacts, 14037-contacts","Nathan Mosley",,,,,,"Wheat Ridge",CO,,US,32459,,
337-accounts,"City of North Liberty",,,,,,,"New Customer",429-contacts,"Ryan Heiar",,,,,,"North Liberty",IA,,US,,,
341-accounts,"City of West Des Moines",,,,,,,"New Customer",433-contacts,"Joe Cory",,,,,,"West Des Moines",IA,,US,,,Cartegraph
345-accounts,"City of  Fremont",,,,,,Municipality,"New Customer",441-contacts,"Troy Schaben",,,"400 E. Military Ave",,,Fremont,NE,,US,26167,,
349-accounts,"County of Benton",,,,,,,"New Customer",449-contacts,"Teresa Leiste",,,,,,Foley,MN,,US,,,
353-accounts,"County of Carver",,,,,,,"New Customer",461-contacts,"Perry Clark",,,,,,Chaska,MN,,US,,,Cartegraph
357-accounts,"City of Grand Island",,,,,,,"New Customer","481-contacts, 1633-contacts","Tom Barnes",,,,,,"Grand Island",NE,,US,48520,,
365-accounts,"City of Hickman, NE",,,,,,Municipality,"New Customer","485-contacts, 89849-contacts","Silas Clarke",,,"115 Locust St",,,Hickman,NE,68372,US,"1,657",,
369-accounts,"City of Scottsbluff, NE",,,,,,,"New Customer",5533-contacts,"Annie Urdiales",,,,,,Scottsbluff,NE,,US,15039,,
373-accounts,"City of Dakota City",,,,,,,"New Customer",2437-contacts,"Brent Clark",,,"1511 Broadway St",,,"Dakota City",NE,68731,US,1919,,
377-accounts,"City of Ozark, MO",,,,,,,"New Customer",61857-contacts,"John McCart",,,,,,Ozark,MO,,US,18082,,
381-accounts,"City of Seward",,,,,,,"New Customer",489-contacts,"Brett Baker",,,,,,Seward,NE,,US,6964,,
385-accounts,"City of Alliance",,,,,,,"New Customer",,,,,,,,Alliance,NE,,US,8421,,
389-accounts,"City of Madison",,,,,,,"New Customer","16433-contacts, 16461-contacts, 22469-contacts","Nicholas Abraham",,,,,,Madison,NE,,US,2427,,
393-accounts,"County of Clay",,,,,,,"New Customer",465-contacts,"Mark Sloan",,,,,,Moorhead,MN,,US,,,
397-accounts,"County of Cottonwood",,,,,,,"New Customer","477-contacts, 469-contacts","Gale Bondhus",,,,,,Windom,MN,,US,,,
401-accounts,"Le Sueur County",,,,,,,"New Customer",,,,,,,,"Le Suere",MN,,US,,,
409-accounts,"City of Huron",,,,,,,"New Customer",497-contacts,"Mike Wever",,,,,,Huron,SD,,US,,,
413-accounts,"City of Norfolk",,,"+1 4028442000",http://www.ci.norfolk.ne.us/,,Municipality,"New Customer","513-contacts, 517-contacts, 521-contacts, 525-contacts","Shane Weidner",,,"309 5th St",,,Norfolk,NE,68701,US,,,
417-accounts,"North Platte NRD",,,"+1 3086322749",http://www.npnrd.org/,,"Natural and Conservation Districts","New Customer","537-contacts, 541-contacts, 545-contacts","John Berge",,,"100547 Airport Rd",,,Scottsbluff,NE,69363,US,,,
421-accounts,"Yazoo Mississippi Delta Joint Water Management District",,,"+1 6626867712",http://www.ymd.org/index.htm,,"Natural and Conservation Districts","New Customer",549-contacts,"Mark Stiles",,,"384-B Stoneville Rd",,,Stoneville,MS,38776,US,,,
425-accounts,"City of Ft Dodge",,,,,,Municipality,"New Customer","657-contacts, 661-contacts, 31313-contacts, 1669-contacts","Greg Koch",,,,,,"Ft Dodge",IA,,US,,,
429-accounts,"Charles City",,,,,,,"New Customer",,,,,,,,"Charles City",IA,,US,,,
433-accounts,"City of O'Neill",,,,,,Municipality,"New Customer",637-contacts,"Curt Kizzire",,,,,,O'Neill,NE,,US,,,
437-accounts,"City of Sidney",,,,,,,"New Customer",89861-contacts,"Gary Person",,,"1115 13th Ave",,,Sidney,NE,69162,US,,,
441-accounts,"Lancaster Rural Water District",,,,,,,"New Customer",,,,,,,,Bennet,NE,,US,,,
445-accounts,"Groundwater Foundation",,,,,,,"New Customer",,,,,,,,Lincoln,NE,,US,,,
449-accounts,"Cedar-Knox Rural Water",,,,,,,"New Customer",,,,,,,,Hartington,NE,,US,,,
453-accounts,"Upper Loup NRD",,,,,,,"New Customer","3065-contacts, 3133-contacts","Anna Baum",,,,,,Thedford,NE,,US,,,
457-accounts,"City of Maitland, FL",,,,,,Municipality,"New Customer","1297-contacts, 14029-contacts, 1009-contacts, 46997-contacts, 55121-contacts, 59877-contacts, 82857-contacts, 83005-contacts","David Negron",,,,,,Maitland,FL,,US,"16,464",,
461-accounts,"City of Bellbrook",,,,,,,"New Customer",,,,,,,,Bellbrook,OH,,US,,,
465-accounts,"City of Marshall",,,,,,,"New Customer","2457-contacts, 17569-contacts, 18001-contacts, 18237-contacts, 18605-contacts, 19697-contacts","Joel Sims",,,,,,Marshall,IL,,US,,,
469-accounts,"County of Redwood",,,,,,,"New Customer",553-contacts,"Nick B",,,,,,"Redwood Falls",MN,,US,,,
473-accounts,"County of Rice",,,,,,,"New Customer",557-contacts,"Michelle Trager",,,,,,Faribault,MN,,US,,,
477-accounts,"County of Scott",,,,,,,"New Customer",561-contacts,"Jim Bunning",,,,,,Shakopee,MN,,US,,,
481-accounts,"County of Stearns",,,,,,,"New Customer",565-contacts,"Chad Martini",,,,,,"St. Cloud",MN,,US,,,
485-accounts,"Kansas Rural Water Association",,krwa@krwa.net,"+1 7853363760",http://krwa.net/homepage/default.asp,"+1 7853362751",State,Reseller/Partner,"569-contacts, 573-contacts","Pete Koenig",,,"706 Waterway Drive",,,Seneca,KS,66538,US,,,
489-accounts,"Central Minnesota Municipal Power Association",,,,,,,"New Customer",73-contacts,"Steve Thompson",,,,,,"Blue Earth",MN,,US,,,
493-accounts,"City of Charleston, IL",,,,,,,"New Customer","585-contacts, 589-contacts, 2453-contacts","Curt Buescher",,,"520 Jackson Ave.",,,Charleston,IL,61920,US,20145,,
501-accounts,"American Public Works Association",,,"+1 8164726100",http://www.apwa.net,"+1 8164721610",Municipality,Reseller/Partner,"605-contacts, 693-contacts, 689-contacts","Heather DelaCruz",,,"2345 Grand Rapids Blvd","Suite 700",,"Kansas City",MO,64108,US,,,
505-accounts,"City of Willmar",,,,,,,"New Customer",609-contacts,"Ross Smeby",,,,,,Willmar,MN,,US,,,
509-accounts,"City of O'Fallon, MO",,,,http://www.ofallon.mo.us,,Municipality,"New Customer","617-contacts, 649-contacts, 55801-contacts, 55805-contacts","Chris Clercx",,,,,,O'Fallon,MO,,US,"82,809",,
513-accounts,"Upper Elkhorn NRD",,,"+1 4023363867",http://www.uenrd.org/index.html,"+1 4023361832","Natural and Conservation Districts","New Customer","625-contacts, 629-contacts, 633-contacts","Dennis Schueth",,,"301 North Harrison Street",,,O'Neill,NE,68763,US,,,
517-accounts,"City of Cape Girardeau, MO",,,,,,,"New Customer","641-contacts, 645-contacts","Scott Meyer",,,,,,"Cape Girardeau",MO,,US,,,
521-accounts,"Papio Missouri River NRD",,,"+1 4024446222",http://www.papionrd.org/,"+1 4028956543","Natural and Conservation Districts","New Customer",84653-contacts,"Paul Woodward",,,"8901 S. 154th Street",,,Omaha,NE,68138,US,,,
525-accounts,"Village of Addison, IL",,,,,,,"New Customer","673-contacts, 677-contacts, 757-contacts, 33881-contacts","Mitch Patterson",,,"1 Friendship Plaza",,,Addison,IL,60101,US,37257,,
529-accounts,"City of Valentine",,,"+1 4023762323",,,Municipality,"New Customer",681-contacts,"Shane Siewart",,,"323 N Main St",,,Valentine,NE,69201,US,,,
533-accounts,"Tri-Basin NRD",,,"+1 3089956688",http://www.tribasinnrd.org,"+1 3089956992","Natural and Conservation Districts","New Customer","697-contacts, 725-contacts","Nolan Little",,,"1723 Burlington Street",,,Holdrege,NE,68949,US,,,
537-accounts,"City of Mattoon, IL",,,,,,,"New Customer","701-contacts, 705-contacts","Dean Barber",,,"208 N. 19th St.",,,Mattoon,IL,61938,US,18364,,
541-accounts,"Town of Speedway, IN",,,"+1 3172464100",,,,"New Customer",709-contacts,"Ian Nicolini",,,"1010 Main St.",,,Speedway,IN,46224,US,11930,,
545-accounts,"City of Danville, IL",,,,,,,"New Customer","713-contacts, 1341-contacts, 41169-contacts","Doug Ahrens",,,,,,Danville,IL,,US,32000,,
549-accounts,"County of Sibley",,,,,,,"New Customer",717-contacts,"Philipp Nagel",,,,,,Gaylord,MN,,US,,,Cartegraph
553-accounts,"City of Urbana, IL",,,,,,,"New Customer","721-contacts, 3129-contacts, 3189-contacts","Bill Gray",,,,,,Urbana,IL,,US,41581,,
557-accounts,"City of Bartow, FL",,,,,,,"New Customer",729-contacts,"Matt Culverhouse",,,,,,Bartow,FL,,US,17665,,
561-accounts,"Village of Rantoul, IL",,,,,,,"New Customer","737-contacts, 1345-contacts","Janet Gray",,,"333 S. Tanner St.",,,Rantoul,IL,61866,US,13063,,
565-accounts,"Center for Research-Univ. of Kansas",,,,,,,"New Customer",745-contacts,"Kristen Kelly",,,"1530 W. 15th St., Room 2160",,,Lawrence,KS,66045,US,,,
569-accounts,"City of Columbus",,,,http://www.columbusne.us/,,Municipality,"New Customer","749-contacts, 22297-contacts, 22929-contacts","Bryan Imus",,,"2424 14th Street",,,Columbus,NE,68602,US,"3,312",,
573-accounts,"City of York",,,"+1 4023632600",http://www.ci.york.ne.us/,"+1 4023632601",,"New Customer",753-contacts,"Tara Vasicek",,,"100 E 4th Street",,,York,NE,68467,US,,,
577-accounts,"City of St. Joseph, MO",,,,http://www.stjoemo.info,,,"New Customer","773-contacts, 55745-contacts, 55749-contacts, 55753-contacts, 89765-contacts","Gary Leftin",,,"2316 S. 3rd St.",,,"St. Joseph",MO,64501,US,"74,071",,
581-accounts,"Town of Avilla, IN",,,,,,,"New Customer",777-contacts,"Bill Ley",,,"108 S. Main St.",,,Avilla,IN,46710,US,2407,,
585-accounts,"City of Anderson, IN",,,,http://www.cityofanderson.com/,,Municipality,"New Customer","781-contacts, 82605-contacts, 82609-contacts, 82613-contacts, 82617-contacts, 82621-contacts, 82625-contacts, 82629-contacts","Tony Pochard",,,"550 Dale Keith Jones Rd.",,,Anderson,IN,46011,US,"56,129",,
589-accounts,"City of Hastings Utilities",,,,http://www.hastingsutilities.com/contact-us/staff.html,,,"New Customer",849-contacts,"Ron Sekora",,,,,,Hastings,NE,,US,,,
593-accounts,"City of Nebraska City Utilities",,,,http://www.nebraskacityutilities.com/about.html,,,"New Customer",853-contacts,"Leroy Frana",,,,,,"Nebraska City",NE,,US,"7,400",,
597-accounts,"City of Kimball, NE",,,,,,,"New Customer",869-contacts,"Dan Ortiz-Hernandez",,,"223 S. Chestnut St.",,,Kimball,NE,69145,US,2450,,
601-accounts,"City of Mt. Vernon, MO",,,,,,,"New Customer",877-contacts,"Gene Stanton",,,"319 E Dallas St.",,,"Mt. Vernon",MO,65712,US,5000,,
605-accounts,"County of Douglas, NV",,,,,,,"New Customer","889-contacts, 1781-contacts, 3157-contacts","Christine Vuletich",,,"1594 Esmeralda Ave.",,,Minden,NV,89423,US,,,
609-accounts,"City of Palo Alto, CA",,,,,,,"New Customer",901-contacts,"Greg Schulz",,,,,,"Palo Alto",CA,,US,,,
613-accounts,"West Central Conservancy District",,,,,,,"New Customer",913-contacts,"Don Raley",,,"243 S. Co. Rd. 625 E.",,,Avon,IN,46123,US,,,
617-accounts,"City of Tallahassee, FL",,,,,,Municipality,"New Customer","437-contacts, 917-contacts, 921-contacts, 61045-contacts, 61049-contacts","Ferdie Francisco",,,"300 S. Adams St.",,,Tallahassee,FL,32301,US,"186,410",,
621-accounts,"City of Vallejo, CA",,,,,,,"New Customer","925-contacts, 1365-contacts","Tami Hansen",,,"555 Santa Clara St.",,,Vallejo,CA,94590,US,119000,,
625-accounts,"City of Carroll",,,,,,,"New Customer","929-contacts, 16553-contacts","Randy Krauel",,,,,,Carroll,IA,,US,,,
629-accounts,"City of Coralville",,,,,,,"New Customer",,,,,,,,Coralville,IA,,US,,,
633-accounts,"Lower Platte South NRD",,,"+1 4024762729",http://www.lpsnrd.org/,"+1 4024766454","Natural and Conservation Districts","New Customer","993-contacts, 54433-contacts","Shaula Ross",,,"3125 Portia St",,,Lincoln,NE,68521,US,,,
637-accounts,"County of St. Johns, FL",,,,,,,"New Customer",997-contacts,"Bridget Mein",,,"500 San Sebastian View",,,"St. Augustine",FL,32084,US,,,
641-accounts,"WEB Water Development Association",,,"+1 6052294749",http://www.webwater.org,"+1 6052294492",Municipality,"New Customer",1001-contacts,"Megan Rieck",,,"38462 US Hwy 12","PO Box 51",,Aberdeen,SD,57401,US,,,
645-accounts,"TYL Facility Solutions",,,,,,,"New Customer",1033-contacts,"Jim Stark",,,,,,"Nebraska City",NE,,US,,,
653-accounts,"Clark Dietz, Inc.",,,,,,,"New Customer","1113-contacts, 1329-contacts","Mustafa Emir, PhD, P.E.",,,"759 N. Milwaukee St.",,,Milwaukee,WI,53202,US,,,
657-accounts,"City of Highland Park, IL",,,,,,,"New Customer","1117-contacts, 1457-contacts, 30193-contacts, 89705-contacts","Ghida Neukirch",,,,,,"Highland Park",IL,,US,29914,,
661-accounts,"City of Crest Hill, IL",,,"+1 8157415108",,,Municipality,"New Customer","1125-contacts, 74033-contacts","John Tomasoski",,,,,,"Crest Hill",IL,,US,20837,,
669-accounts,"Village of Fox Lake, IL",,,,,,,"New Customer","1177-contacts, 46929-contacts","Anne Marrin",,,"66 Thillen Dr.",,,"Fox Lake",IL,60020,US,10551,,
673-accounts,"Lawrence County SWCD",,,,,,,"New Customer",1217-contacts,"Christina Bruce",,,"1919 Steven Ave.",,,Bedford,IN,47421,US,,,
677-accounts,"Gibraltar Remembrance Services",,,"+1 3178169000",,,,"New Customer",1233-contacts,"Mark Vandenboom",,,"3925 River Crossing Pkwy","Suite 100",,Indianapolis,IN,46240,US,,,
681-accounts,"Village of Downers Grove",,,,,,,"New Customer","1257-contacts, 5501-contacts, 5497-contacts","Mike Baker",,,"801 Burlington Ave.",,,"Downers Grove",IL,60515,US,49399,,
685-accounts,"Village of Matteson, IL",,,,,,,"New Customer","1261-contacts, 5837-contacts","Brian Mitchell",,,,,,Matteson,IL,,US,19147,,
689-accounts,"Pulse Broadband",,,,,,,"New Customer","1293-contacts, 1301-contacts","Terie Hannay",,,,,,"Grand Rapids",MI,,US,,,
693-accounts,"City of Weston, MO",,,,http://westonmo.com/,,Municipality,"New Customer","28181-contacts, 28269-contacts","Kim Kirby",,,"2599 S. Post Rd",,,Weston,MO,33327,US,"1,703",,
697-accounts,"CCG Consulting",,,,,,,"New Customer",1281-contacts,"Doug Dawson",,,,,,"Punta Gorda",FL,,US,,,
705-accounts,"City of Owosso, MI",,,"+1 9897250544",,,,"New Customer",1405-contacts,"Sue Montenegro",,,,,,Owosso,MI,,US,14784,,
709-accounts,hickman,,,,,,,"New Customer",,,,,,,,,,,,,,
713-accounts,"Town of Newburgh, IN",,,,,,,"New Customer","1513-contacts, 59189-contacts","Lori Buehlman",,,,,,Newburgh,IN,,US,3315,,
717-accounts,"city of Washtington, IN",,,,,,,"New Customer",1521-contacts,"Ernie Evans",,,"2200 Memorial Ave.",,,Washington,IN,47501,US,,,
721-accounts,"Withlacoochee River Electric Coop.",,,,,,,"New Customer",1589-contacts,"Mike Walker",,,"14651 21st St.",,,"Dade City",FL,33526,US,200000,,
